OTU	Sample	Abundance	Kingdom	Phylum	Class	Order	Family	Genus
Otu00921	19	9.10194174757282	Bacteria	Acidobacteria	Acidobacteria	Subgroup_3	AKIW659	AKIW659_unclassified
Otu00921	18	2.87218764959311	Bacteria	Acidobacteria	Acidobacteria	Subgroup_3	AKIW659	AKIW659_unclassified
Otu00921	8	1.43129770992366	Bacteria	Acidobacteria	Acidobacteria	Subgroup_3	AKIW659	AKIW659_unclassified
Otu00921	16	1.35685210312076	Bacteria	Acidobacteria	Acidobacteria	Subgroup_3	AKIW659	AKIW659_unclassified
Otu00921	17	0.518403317781234	Bacteria	Acidobacteria	Acidobacteria	Subgroup_3	AKIW659	AKIW659_unclassified
Otu00921	22	0	Bacteria	Acidobacteria	Acidobacteria	Subgroup_3	AKIW659	AKIW659_unclassified
Otu00921	1	0	Bacteria	Acidobacteria	Acidobacteria	Subgroup_3	AKIW659	AKIW659_unclassified
Otu00921	27	0	Bacteria	Acidobacteria	Acidobacteria	Subgroup_3	AKIW659	AKIW659_unclassified
Otu00921	26	0	Bacteria	Acidobacteria	Acidobacteria	Subgroup_3	AKIW659	AKIW659_unclassified
Otu00921	24	0	Bacteria	Acidobacteria	Acidobacteria	Subgroup_3	AKIW659	AKIW659_unclassified
Otu00921	4	0	Bacteria	Acidobacteria	Acidobacteria	Subgroup_3	AKIW659	AKIW659_unclassified
Otu00921	28	0	Bacteria	Acidobacteria	Acidobacteria	Subgroup_3	AKIW659	AKIW659_unclassified
Otu00921	23	0	Bacteria	Acidobacteria	Acidobacteria	Subgroup_3	AKIW659	AKIW659_unclassified
Otu00921	25	0	Bacteria	Acidobacteria	Acidobacteria	Subgroup_3	AKIW659	AKIW659_unclassified
Otu00921	21	0	Bacteria	Acidobacteria	Acidobacteria	Subgroup_3	AKIW659	AKIW659_unclassified
Otu00921	20	0	Bacteria	Acidobacteria	Acidobacteria	Subgroup_3	AKIW659	AKIW659_unclassified
Otu00207	17	147.22654224987	Bacteria	Chloroflexi	Thermomicrobia	AKYG1722	AKYG1722_unclassified	AKYG1722_unclassified
Otu00207	18	99.5691718525611	Bacteria	Chloroflexi	Thermomicrobia	AKYG1722	AKYG1722_unclassified	AKYG1722_unclassified
Otu00207	19	98.3009708737864	Bacteria	Chloroflexi	Thermomicrobia	AKYG1722	AKYG1722_unclassified	AKYG1722_unclassified
Otu00207	8	34.8282442748092	Bacteria	Chloroflexi	Thermomicrobia	AKYG1722	AKYG1722_unclassified	AKYG1722_unclassified
Otu00207	4	24.5549416820135	Bacteria	Chloroflexi	Thermomicrobia	AKYG1722	AKYG1722_unclassified	AKYG1722_unclassified
Otu00207	28	21.1601605253557	Bacteria	Chloroflexi	Thermomicrobia	AKYG1722	AKYG1722_unclassified	AKYG1722_unclassified
Otu00207	24	15.3256704980843	Bacteria	Chloroflexi	Thermomicrobia	AKYG1722	AKYG1722_unclassified	AKYG1722_unclassified
Otu00207	21	13.302034428795	Bacteria	Chloroflexi	Thermomicrobia	AKYG1722	AKYG1722_unclassified	AKYG1722_unclassified
Otu00207	23	12.4580737901294	Bacteria	Chloroflexi	Thermomicrobia	AKYG1722	AKYG1722_unclassified	AKYG1722_unclassified
Otu00207	1	10.7591153616258	Bacteria	Chloroflexi	Thermomicrobia	AKYG1722	AKYG1722_unclassified	AKYG1722_unclassified
Otu00207	20	10.4079933388843	Bacteria	Chloroflexi	Thermomicrobia	AKYG1722	AKYG1722_unclassified	AKYG1722_unclassified
Otu00207	27	8.16023738872404	Bacteria	Chloroflexi	Thermomicrobia	AKYG1722	AKYG1722_unclassified	AKYG1722_unclassified
Otu00207	26	8.09388911371914	Bacteria	Chloroflexi	Thermomicrobia	AKYG1722	AKYG1722_unclassified	AKYG1722_unclassified
Otu00207	22	4.47518307567128	Bacteria	Chloroflexi	Thermomicrobia	AKYG1722	AKYG1722_unclassified	AKYG1722_unclassified
Otu00207	25	4.13650465356774	Bacteria	Chloroflexi	Thermomicrobia	AKYG1722	AKYG1722_unclassified	AKYG1722_unclassified
Otu00207	10	1.48367952522255	Bacteria	Chloroflexi	Thermomicrobia	AKYG1722	AKYG1722_unclassified	AKYG1722_unclassified
Otu00207	13	0	Bacteria	Chloroflexi	Thermomicrobia	AKYG1722	AKYG1722_unclassified	AKYG1722_unclassified
Otu00207	16	0	Bacteria	Chloroflexi	Thermomicrobia	AKYG1722	AKYG1722_unclassified	AKYG1722_unclassified
Otu00567	27	36.7210682492582	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AT-s3-44	AT-s3-44_unclassified
Otu00567	26	19.8300283286119	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AT-s3-44	AT-s3-44_unclassified
Otu00567	20	6.24479600333056	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AT-s3-44	AT-s3-44_unclassified
Otu00567	21	5.4773082942097	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AT-s3-44	AT-s3-44_unclassified
Otu00567	22	5.28885272579333	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AT-s3-44	AT-s3-44_unclassified
Otu00567	28	4.74279460051076	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AT-s3-44	AT-s3-44_unclassified
Otu00567	10	2.9673590504451	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AT-s3-44	AT-s3-44_unclassified
