OTU	Sample	Abundance	Kingdom	Phylum	Class	Order
Otu02336	VC1	5.06791034354552	Bacteria	Verrucomicrobia	Spartobacteria	Chthoniobacterales
Otu02336	VC2	3.05632118990851	Bacteria	Verrucomicrobia	Spartobacteria	Chthoniobacterales
Otu02336	VC3	0.332367086460028	Bacteria	Verrucomicrobia	Spartobacteria	Chthoniobacterales
Otu02336	PNC3	0	Bacteria	Verrucomicrobia	Spartobacteria	Chthoniobacterales
Otu02336	PNC1	0	Bacteria	Verrucomicrobia	Spartobacteria	Chthoniobacterales
Otu03141	VC1	2.41782270955391	Bacteria	Armatimonadetes	Chthonomonadetes	Chthonomonadales
Otu03141	VC3	1.93725493841218	Bacteria	Armatimonadetes	Chthonomonadetes	Chthonomonadales
Otu03141	VC2	0.989119683481702	Bacteria	Armatimonadetes	Chthonomonadetes	Chthonomonadales
Otu03141	PNC2	0	Bacteria	Armatimonadetes	Chthonomonadetes	Chthonomonadales
Otu03141	PNC1	0	Bacteria	Armatimonadetes	Chthonomonadetes	Chthonomonadales
Otu03141	PNC3	0	Bacteria	Armatimonadetes	Chthonomonadetes	Chthonomonadales
Otu00804	VC1	32.533577220082	Bacteria	Firmicutes	Clostridia	Clostridia_unclassified
Otu00804	PNC3	4.11814106940197	Bacteria	Firmicutes	Clostridia	Clostridia_unclassified
Otu00804	VC3	3.57887673834508	Bacteria	Firmicutes	Clostridia	Clostridia_unclassified
Otu00804	PNC2	1.234221449118	Bacteria	Firmicutes	Clostridia	Clostridia_unclassified
Otu00804	VC2	1.03106809108159	Bacteria	Firmicutes	Clostridia	Clostridia_unclassified
Otu00804	PNC1	0.66042165349081	Bacteria	Firmicutes	Clostridia	Clostridia_unclassified
Otu00046	VC3	463.271936650741	Bacteria	Firmicutes	Clostridia	Clostridiales
Otu00046	PNC2	365.178853930436	Bacteria	Firmicutes	Clostridia	Clostridiales
